title,classification,reason,example_title,july_occurrences,days_present,first_seen,last_seen
customer service & sales administrator,HARD_PASS,"Sales, account-management or collections role rather than service-led customer contact.",Customer Service & Sales Administrator,7,7,2026-07-01,2026-07-07
sales & customer service administrator,HARD_PASS,"Sales, account-management or collections role rather than service-led customer contact.",Sales & Customer Service Administrator,7,7,2026-07-01,2026-07-07
sales administrator & customer service executive,HARD_PASS,"Sales, account-management or collections role rather than service-led customer contact.",Sales Administrator & Customer Service Executive,7,7,2026-07-01,2026-07-07
customer service administrator,REVIEW_CONTEXT_DEPENDENT,Customer-service wording is present but the complete role meaning is not specific enough.,Customer Service Administrator,88,9,2026-07-01,2026-07-09
customer service associate,REVIEW_CONTEXT_DEPENDENT,Customer-service wording is present but the complete role meaning is not specific enough.,Customer Service Associate,13,7,2026-07-08,2026-07-14
customer support administrator (1- year contract),REVIEW_CONTEXT_DEPENDENT,Customer-service wording is present but the complete role meaning is not specific enough.,Customer Support Administrator (1- Year Contract),8,8,2026-07-02,2026-07-09
call centre administrator,REVIEW_CONTEXT_DEPENDENT,Customer-service wording is present but the complete role meaning is not specific enough.,Call Centre Administrator,7,7,2026-07-01,2026-07-07
customer care administrator,REVIEW_CONTEXT_DEPENDENT,Customer-service wording is present but the complete role meaning is not specific enough.,Customer Care Administrator,7,7,2026-07-01,2026-07-07
customer service admin,REVIEW_CONTEXT_DEPENDENT,Customer-service wording is present but the complete role meaning is not specific enough.,Customer Service Admin,7,7,2026-07-01,2026-07-07
customer service administrator - 3 month contract,REVIEW_CONTEXT_DEPENDENT,Customer-service wording is present but the complete role meaning is not specific enough.,Customer Service Administrator - 3 Month Contract,7,7,2026-07-01,2026-07-07
customer service and complaints administrator,REVIEW_CONTEXT_DEPENDENT,Customer-service wording is present but the complete role meaning is not specific enough.,Customer Service And Complaints Administrator,7,7,2026-07-01,2026-07-07
customer support administrator,REVIEW_CONTEXT_DEPENDENT,Customer-service wording is present but the complete role meaning is not specific enough.,Customer Support Administrator,7,7,2026-07-01,2026-07-07
e-commerce customer service & administrator,REVIEW_CONTEXT_DEPENDENT,Customer-service wording is present but the complete role meaning is not specific enough.,E-commerce Customer Service & Administrator,7,7,2026-07-01,2026-07-07
italian and french speaking customer service administrator,REVIEW_CONTEXT_DEPENDENT,Customer-service wording is present but the complete role meaning is not specific enough.,Italian and French speaking Customer Service Administrator,7,7,2026-07-01,2026-07-07
member services lead - pensions (hybrid or remote with travel to preston),REVIEW_CONTEXT_DEPENDENT,Customer-service wording is present but the complete role meaning is not specific enough.,Member Services Lead - Pensions (Hybrid or Remote with Travel to Preston),7,7,2026-07-01,2026-07-07
customer relations administrator,REVIEW_CONTEXT_DEPENDENT,Customer-service wording is present but the complete role meaning is not specific enough.,Customer Relations Administrator,6,6,2026-07-09,2026-07-14
member services officer,REVIEW_CONTEXT_DEPENDENT,Customer-service wording is present but the complete role meaning is not specific enough.,Member Services Officer,6,6,2026-07-02,2026-07-07
audiology domiciliary customer service partner,REVIEW_CONTEXT_DEPENDENT,Customer-service wording is present but the complete role meaning is not specific enough.,Audiology Domiciliary Customer Service Partner,5,5,2026-07-10,2026-07-14
transport customer service / administrator,REVIEW_CONTEXT_DEPENDENT,Customer-service wording is present but the complete role meaning is not specific enough.,Transport Customer Service / Administrator,1,1,2026-07-08,2026-07-08
