decision,job_id,title,company,location,source,automatic_decision,effective_decision,reason,matched_rule,city_key
review,jobg8-1893674,Accounts Assistant,Reed - Agency - Permanent,Kent,JobG8,review,review,No exact Ashford workplace matched; local geographic review is required.,fallback,ashford-service-administrator-jobs
review,jobg8-1896302,Accounts Assistant,Reed - Agency - Permanent,Kent,JobG8,review,review,No exact Ashford workplace matched; local geographic review is required.,fallback,ashford-service-administrator-jobs
review,jobg8-1899220,Accounts Assistant (part-time),Michael Page Finance - Agency - Permanent,Kent,JobG8,review,review,No exact Ashford workplace matched; local geographic review is required.,fallback,ashford-service-administrator-jobs
review,jobg8-1909137,Accounts Assistant Credit Control,Cobb & Jones Recruitment Limited - Agency - Permanent,Kent,JobG8,review,review,No exact Ashford workplace matched; local geographic review is required.,fallback,ashford-service-administrator-jobs
review,nhs-5601161,Administration Assistant,Kent and Medway Mental Health NHS Trust,"Sittingbourne, ME10 4HG",NHS Jobs,review,review,No exact Ashford workplace matched; local geographic review is required.,fallback,ashford-service-administrator-jobs
review,teaching-vacancies-administration-assistant-st-augustine-academy,Administration Assistant,St Augustine Academy,Maidstone,Teaching Vacancies,review,review,No exact Ashford workplace matched; local geographic review is required.,fallback,ashford-service-administrator-jobs
review,teaching-vacancies-administrative-assistant-hillview-school-for-girls,Administrative Assistant,Hillview School for Girls,Tonbridge,Teaching Vacancies,review,review,No exact Ashford workplace matched; local geographic review is required.,fallback,ashford-service-administrator-jobs
review,nhs-5608122,Administrative Assistant,Kent and Medway Mental Health NHS Trust,"Gillingham, ME7 1AL",NHS Jobs,review,review,No exact Ashford workplace matched; local geographic review is required.,fallback,ashford-service-administrator-jobs
review,nhs-5608655,Administrative Assistant,Kent and Medway Mental Health NHS Trust,"Maidstone, ME16 9PH",NHS Jobs,review,review,No exact Ashford workplace matched; local geographic review is required.,fallback,ashford-service-administrator-jobs
review,nhs-5598443,Administrator,Kent and Medway Mental Health NHS Trust,"Sevenoaks, TN13 3PG",NHS Jobs,review,review,No exact Ashford workplace matched; local geographic review is required.,fallback,ashford-service-administrator-jobs
review,teaching-vacancies-admissions-officer-the-robert-napier-school,Admissions Officer,The Robert Napier School,Gillingham,Teaching Vacancies,review,review,No exact Ashford workplace matched; local geographic review is required.,fallback,ashford-service-administrator-jobs
review,teaching-vacancies-attendance-administrator-2f3d689b-f206-45e5-991f-9a3a5bcff860,Attendance Administrator,Maidstone Grammar School for Girls,Maidstone,Teaching Vacancies,review,review,No exact Ashford workplace matched; local geographic review is required.,fallback,ashford-service-administrator-jobs
review,jobg8-1906608,Claims Handler,Adjusting Appointments Limited - Agency - Permanent,Kent,JobG8,review,review,No exact Ashford workplace matched; local geographic review is required.,fallback,ashford-service-administrator-jobs
review,jobg8-107994812,Digital Fundraising and Campaign Lead,Mission Aviation Fellowship UK - Agency - Contract,Kent,JobG8,review,review,No exact Ashford workplace matched; local geographic review is required.,fallback,ashford-service-administrator-jobs
review,jobg8-1950127,Digital Marketing Assistant,Reed - Agency - Permanent,Kent,JobG8,review,review,No exact Ashford workplace matched; local geographic review is required.,fallback,ashford-service-administrator-jobs
review,jobg8-1883827,Finance Assistant,Hays Specialist Recruitment Limited - Agency - Permanent,Kent,JobG8,review,review,No exact Ashford workplace matched; local geographic review is required.,fallback,ashford-service-administrator-jobs
review,jobg8-1875398,HR Administrator,Earl Street Employment Consultants Ltd - Agency - Permanent,Dartford,JobG8,review,review,No exact Ashford workplace matched; local geographic review is required.,fallback,ashford-service-administrator-jobs
review,jobg8-1873956,Insurance Sales Executive,Get Recruited (UK) Ltd - Agency - Permanent,Dartford,JobG8,review,review,No exact Ashford workplace matched; local geographic review is required.,fallback,ashford-service-administrator-jobs
review,jobg8-1817573,Lettings Coordinator,Reed - Agency - Permanent,Kent,JobG8,review,review,No exact Ashford workplace matched; local geographic review is required.,fallback,ashford-service-administrator-jobs
review,jobg8-1898298,Marketing Account Executive - Kent - To &;30K,Jump IT Recruitment Solutions Ltd - Agency - Permanent,Kent,JobG8,review,review,No exact Ashford workplace matched; local geographic review is required.,fallback,ashford-service-administrator-jobs
review,jobg8-1914149,Marketing and Communications,TN Recruits - Agency - Permanent,Tunbridge Wells,JobG8,review,review,No exact Ashford workplace matched; local geographic review is required.,fallback,ashford-service-administrator-jobs
review,jobg8-1909010,Marketing Content Executive,Mission Aviation Fellowship UK - Agency - Permanent,Folkestone,JobG8,review,review,No exact Ashford workplace matched; local geographic review is required.,fallback,ashford-service-administrator-jobs
review,jobg8-1928026,Marketing Content Executive,Mission Aviation Fellowship UK - Agency - Permanent,Kent,JobG8,review,review,No exact Ashford workplace matched; local geographic review is required.,fallback,ashford-service-administrator-jobs
review,jobg8-1862832,Marketing Manager,Crystal People Ltd - Agency - Permanent,Kent,JobG8,review,review,No exact Ashford workplace matched; local geographic review is required.,fallback,ashford-service-administrator-jobs
review,jobg8-1870521,Marketing Manager (Construction),Reed - Agency - Permanent,Kent,JobG8,review,review,No exact Ashford workplace matched; local geographic review is required.,fallback,ashford-service-administrator-jobs
review,jobg8-1896084,Office Administrator,Worth Recruiting - Property Industry Recruitment - Agency - Permanent,Kent,JobG8,review,review,No exact Ashford workplace matched; local geographic review is required.,fallback,ashford-service-administrator-jobs
review,teaching-vacancies-personal-assistant-to-the-headteacher-maidstone-grammar-school-for-girls,Personal Assistant to the Headteacher,Maidstone Grammar School for Girls,Maidstone,Teaching Vacancies,review,review,No exact Ashford workplace matched; local geographic review is required.,fallback,ashford-service-administrator-jobs
review,teaching-vacancies-school-receptionist-administrator-valence-school-westerham-kent,School Receptionist & Administrator,Valence School,Westerham,Teaching Vacancies,review,review,No exact Ashford workplace matched; local geographic review is required.,fallback,ashford-service-administrator-jobs
review,jobg8-107855886,Service Advisor (HGV/Commercial Vehicles),Ernest Gordon Recruitment - Agency - Permanent,Kent,JobG8,review,review,No exact Ashford workplace matched; local geographic review is required.,fallback,ashford-service-administrator-jobs
